,Parameters,Mean Accuracy,Std Dev Accuracy
89,"{'C': 6.951927961775605, 'gamma': 0.0006951927961775605, 'kernel': 'rbf'}",0.9233103575108836,0.0015496729119359087
90,"{'C': 6.951927961775605, 'gamma': 0.0014384498882876629, 'kernel': 'rbf'}",0.9265249479806628,0.0019357523206548482
91,"{'C': 6.951927961775605, 'gamma': 0.002976351441631316, 'kernel': 'rbf'}",0.9286371460881838,0.0017522721344741987
92,"{'C': 6.951927961775605, 'gamma': 0.00615848211066026, 'kernel': 'rbf'}",0.9297391588242216,0.0008216696576170285
93,"{'C': 6.951927961775605, 'gamma': 0.012742749857031322, 'kernel': 'rbf'}",0.9315761279222257,0.0017872518424587088
94,"{'C': 6.951927961775605, 'gamma': 0.026366508987303555, 'kernel': 'rbf'}",0.9307495972798516,0.0028032098105747476
95,"{'C': 6.951927961775605, 'gamma': 0.05455594781168514, 'kernel': 'rbf'}",0.9317599091934081,0.0035839247942869527
96,"{'C': 6.951927961775605, 'gamma': 0.11288378916846883, 'kernel': 'rbf'}",0.9321270077481711,0.0019602668864115306
97,"{'C': 6.951927961775605, 'gamma': 0.23357214690901212, 'kernel': 'rbf'}",0.9318513991124338,0.0020716986988976215
98,"{'C': 6.951927961775605, 'gamma': 0.4832930238571752, 'kernel': 'rbf'}",0.9274432638069001,0.0024059145948933324
99,"{'C': 6.951927961775605, 'gamma': 1.0, 'kernel': 'rbf'}",0.917432689107638,0.004149285277816143
100,"{'C': 11.28837891684689, 'gamma': 1e-06, 'kernel': 'rbf'}",0.25826596022445186,0.00019118253883171563
101,"{'C': 11.28837891684689, 'gamma': 2.06913808111479e-06, 'kernel': 'rbf'}",0.35249855214777753,0.002690072403450365
102,"{'C': 11.28837891684689, 'gamma': 4.281332398719396e-06, 'kernel': 'rbf'}",0.63106198747824,0.0037670866604640452
103,"{'C': 11.28837891684689, 'gamma': 8.858667904100832e-06, 'kernel': 'rbf'}",0.8547035055950578,0.005307161621107945
104,"{'C': 11.28837891684689, 'gamma': 1.8329807108324375e-05, 'kernel': 'rbf'}",0.899340336171672,0.0079096154019916
105,"{'C': 11.28837891684689, 'gamma': 3.792690190732254e-05, 'kernel': 'rbf'}",0.9111873316199537,0.0036982569356293553
106,"{'C': 11.28837891684689, 'gamma': 7.847599703514606e-05, 'kernel': 'rbf'}",0.9155957621903251,0.0032105302277233676
107,"{'C': 11.28837891684689, 'gamma': 0.0001623776739188721, 'kernel': 'rbf'}",0.918534786205058,0.0029960444236487283
108,"{'C': 11.28837891684689, 'gamma': 0.0003359818286283781, 'kernel': 'rbf'}",0.9219328205004906,0.002291022665908173
109,"{'C': 11.28837891684689, 'gamma': 0.0006951927961775605, 'kernel': 'rbf'}",0.9252390696120599,0.0015067918800003
